data;maquina;setor;turno;horas_uso;temperatura_media;vibracao_media;producao;pecas_defeituosas;taxa_defeito;eficiencia;col_mes
2025-01-29;Torno CNC 03;Usinagem;Manhã;8;80,5;1,98;467;9;1,9271948608137044;98,0728051391863;1
2025-01-30;Torno CNC 03;Usinagem;Tarde;5;79,4;2,17;484;2;0,4132231404958678;99,58677685950413;1
2025-01-31;Torno CNC 03;Usinagem;Manhã;5;76,3;2,17;495;8;1,6161616161616161;98,38383838383838;1
2025-02-01;Torno CNC 03;Usinagem;Tarde;5;78,0;2,24;153;2;1,3071895424836601;98,69281045751634;2
2025-02-02;Torno CNC 03;Usinagem;Manhã;4;77,6;2,72;169;2;1,183431952662722;98,81656804733728;2
2025-02-03;Torno CNC 03;Usinagem;Tarde;5;78,7;2,0;473;4;0,8456659619450317;99,15433403805497;2
2025-02-04;Torno CNC 03;Usinagem;Manhã;8;74,7;2,1;509;5;0,9823182711198428;99,01768172888016;2
2025-02-05;Torno CNC 03;Usinagem;Tarde;11;79,8;2,46;465;8;1,7204301075268817;98,27956989247312;2
2025-02-06;Torno CNC 03;Usinagem;Manhã;6;79,4;2,58;467;11;2,355460385438972;97,64453961456103;2
2025-02-07;Torno CNC 03;Usinagem;Tarde;7;80,0;2,11;475;10;2,1052631578947367;97,89473684210526;2
2025-02-08;Torno CNC 03;Usinagem;Manhã;5;73,2;2,36;177;10;5,649717514124294;94,35028248587571;2
2025-02-09;Torno CNC 03;Usinagem;Tarde;2;80,3;2,69;149;4;2,684563758389262;97,31543624161074;2
2025-02-10;Torno CNC 03;Usinagem;Manhã;8;78,8;2,4;471;9;1,910828025477707;98,08917197452229;2
2025-02-11;Torno CNC 03;Usinagem;Tarde;8;78,7;2,37;510;4;0,7843137254901961;99,2156862745098;2
2025-02-12;Torno CNC 03;Usinagem;Manhã;10;75,0;1,97;417;10;2,3980815347721824;97,60191846522781;2
2025-02-13;Torno CNC 03;Usinagem;Tarde;8;75,6;2,01;509;6;1,1787819253438114;98,82121807465619;2
2025-02-14;Torno CNC 03;Usinagem;Manhã;8;82,0;2,08;465;4;0,8602150537634409;99,13978494623656;2
2025-02-15;Torno CNC 03;Usinagem;Tarde;3;81,3;2,03;151;7;4,635761589403973;95,36423841059603;2
2025-02-16;Torno CNC 03;Usinagem;Manhã;3;80,6;2,23;202;2;0,9900990099009901;99,00990099009901;2
2025-02-17;Torno CNC 03;Usinagem;Tarde;8;79,6;2,56;500;4;0,8;99,2;2
2025-02-18;Torno CNC 03;Usinagem;Manhã;8;78,1;2,26;487;6;1,2320328542094456;98,76796714579055;2
2025-02-19;Torno CNC 03;Usinagem;Tarde;11;80,2;2,05;453;8;1,7660044150110374;98,23399558498896;2
2025-02-20;Torno CNC 03;Usinagem;Manhã;5;75,2;2,15;508;11;2,1653543307086616;97,83464566929133;2
2025-02-21;Torno CNC 03;Usinagem;Tarde;7;78,3;2,03;495;7;1,4141414141414141;98,58585858585859;2
2025-02-22;Torno CNC 03;Usinagem;Manhã;4;78,2;1,96;181;2;1,1049723756906076;98,89502762430939;2
2025-02-23;Torno CNC 03;Usinagem;Tarde;2;79,7;2,01;206;11;5,339805825242718;94,66019417475728;2
2025-02-24;Torno CNC 03;Usinagem;Manhã;11;73,3;2,15;473;8;1,6913319238900635;98,30866807610994;2
2025-02-25;Torno CNC 03;Usinagem;Tarde;5;78,6;1,95;504;9;1,7857142857142856;98,21428571428571;2
2025-02-26;Torno CNC 03;Usinagem;Manhã;10;78,7;2,35;463;3;0,6479481641468683;99,35205183585313;2
2025-02-27;Torno CNC 03;Usinagem;Tarde;11;73,5;1,94;522;11;2,10727969348659;97,89272030651341;2
2025-02-28;Torno CNC 03;Usinagem;Manhã;11;76,8;2,48;443;9;2,0316027088036117;97,96839729119638;2
2025-03-01;Torno CNC 03;Usinagem;Tarde;2;79,3;2,66;169;5;2,9585798816568047;97,0414201183432;3
2025-03-02;Torno CNC 03;Usinagem;Manhã;3;84,4;2,49;122;2;1,639344262295082;98,36065573770492;3
2025-03-03;Torno CNC 03;Usinagem;Tarde;11;78,6;2,78;482;11;2,2821576763485476;97,71784232365145;3
2025-03-04;Torno CNC 03;Usinagem;Manhã;9;83,3;2,1;454;7;1,5418502202643172;98,45814977973568;3
2025-03-05;Torno CNC 03;Usinagem;Tarde;5;77,0;1,92;516;8;1,550387596899225;98,44961240310077;3
2025-03-06;Torno CNC 03;Usinagem;Manhã;11;83,0;2,16;496;4;0,8064516129032258;99,19354838709677;3
2025-03-07;Torno CNC 03;Usinagem;Tarde;9;76,2;2,2;473;6;1,2684989429175475;98,73150105708245;3
2025-03-08;Torno CNC 03;Usinagem;Manhã;4;77,3;2,86;172;8;4,651162790697675;95,34883720930233;3
2025-03-09;Torno CNC 03;Usinagem;Tarde;5;75,2;2,22;142;8;5,633802816901409;94,36619718309859;3
2025-03-10;Torno CNC 03;Usinagem;Manhã;6;82,6;2,7;491;11;2,240325865580448;97,75967413441956;3
2025-03-11;Torno CNC 03;Usinagem;Tarde;7;76,6;2,65;495;6;1,2121212121212122;98,78787878787878;3
2025-03-12;Torno CNC 03;Usinagem;Manhã;9;77,4;2,32;511;9;1,761252446183953;98,23874755381604;3
2025-03-13;Torno CNC 03;Usinagem;Tarde;8;78,4;2,78;464;2;0,43103448275862066;99,56896551724138;3
2025-03-14;Torno CNC 03;Usinagem;Manhã;9;80,1;2,32;506;11;2,1739130434782608;97,82608695652173;3
2025-03-15;Torno CNC 03;Usinagem;Tarde;4;77,7;2,38;158;2;1,2658227848101267;98,73417721518987;3
2025-03-16;Torno CNC 03;Usinagem;Manhã;3;80,7;2,16;158;6;3,79746835443038;96,20253164556962;3
2025-03-17;Torno CNC 03;Usinagem;Tarde;6;76,9;2,57;504;5;0,992063492063492;99,0079365079365;3
2025-03-18;Torno CNC 03;Usinagem;Manhã;5;76,1;2,56;510;4;0,7843137254901961;99,2156862745098;3
2025-03-19;Torno CNC 03;Usinagem;Tarde;5;75,9;2,12;506;2;0,3952569169960474;99,60474308300395;3
2025-03-20;Torno CNC 03;Usinagem;Manhã;11;81,1;2,37;458;8;1,7467248908296942;98,2532751091703;3
2025-03-21;Torno CNC 03;Usinagem;Tarde;9;79,1;2,04;517;2;0,3868471953578337;99,61315280464217;3
2025-03-22;Torno CNC 03;Usinagem;Manhã;2;81,9;2,31;191;2;1,0471204188481675;98,95287958115183;3
2025-03-23;Torno CNC 03;Usinagem;Tarde;5;77,1;2,22;159;5;3,1446540880503147;96,85534591194968;3
2025-03-24;Torno CNC 03;Usinagem;Manhã;7;75,4;2,3;502;5;0,9960159362549801;99,00398406374502;3
2025-03-25;Torno CNC 03;Usinagem;Tarde;7;75,6;2,2;504;6;1,1904761904761905;98,80952380952381;3
2025-03-26;Torno CNC 03;Usinagem;Manhã;6;83,4;2,42;500;7;1,4000000000000001;98,6;3
2025-03-27;Torno CNC 03;Usinagem;Tarde;11;78,2;1,87;488;10;2,0491803278688523;97,95081967213115;3
2025-03-28;Torno CNC 03;Usinagem;Manhã;6;73,3;2,32;525;7;1,3333333333333335;98,66666666666667;3
2025-03-29;Torno CNC 03;Usinagem;Tarde;5;78,7;2,39;170;5;2,941176470588235;97,05882352941177;3
2025-03-30;Torno CNC 03;Usinagem;Manhã;5;75,8;2,24;182;11;6,043956043956044;93,95604395604396;3
2025-03-31;Torno CNC 03;Usinagem;Tarde;6;82,4;2,08;452;3;0,6637168141592921;99,33628318584071;3
2025-04-01;Torno CNC 03;Usinagem;Manhã;8;82,8;2,44;515;8;1,5533980582524272;98,44660194174757;4
2025-04-02;Torno CNC 03;Usinagem;Tarde;5;79,6;1,97;518;10;1,9305019305019304;98,06949806949807;4
2025-04-03;Torno CNC 03;Usinagem;Manhã;11;75,5;2,29;435;11;2,528735632183908;97,47126436781609;4
2025-04-04;Torno CNC 03;Usinagem;Tarde;8;81,4;2,31;509;6;1,1787819253438114;98,82121807465619;4
2025-04-05;Torno CNC 03;Usinagem;Manhã;5;78,7;2,3;177;5;2,824858757062147;97,17514124293785;4
2025-04-06;Torno CNC 03;Usinagem;Tarde;2;75,7;2,98;185;2;1,0810810810810811;98,91891891891892;4
2025-04-07;Torno CNC 03;Usinagem;Manhã;9;75,3;2,76;510;11;2,156862745098039;97,84313725490196;4
2025-04-08;Torno CNC 03;Usinagem;Tarde;10;78,6;2,96;480;9;1,875;98,125;4
2025-04-09;Torno CNC 03;Usinagem;Manhã;6;77,5;1,89;527;6;1,1385199240986716;98,86148007590133;4
2025-04-10;Torno CNC 03;Usinagem;Tarde;5;72,6;2,2;460;2;0,43478260869565216;99,56521739130434;4
2025-04-11;Torno CNC 03;Usinagem;Manhã;5;80,9;2,13;479;4;0,8350730688935281;99,16492693110648;4
2025-04-12;Torno CNC 03;Usinagem;Tarde;2;79,5;2,26;192;6;3,125;96,875;4
2025-04-13;Torno CNC 03;Usinagem;Manhã;4;78,4;2,61;168;7;4,166666666666666;95,83333333333333;4
2025-04-14;Torno CNC 03;Usinagem;Tarde;5;74,5;2,4;502;6;1,1952191235059761;98,80478087649402;4
2025-04-15;Torno CNC 03;Usinagem;Manhã;6;79,0;2,27;509;3;0,5893909626719057;99,4106090373281;4
2025-04-16;Torno CNC 03;Usinagem;Tarde;5;78,8;1,82;487;8;1,642710472279261;98,35728952772074;4
2025-04-17;Torno CNC 03;Usinagem;Manhã;10;79,0;2,87;510;8;1,5686274509803921;98,43137254901961;4
2025-04-18;Torno CNC 03;Usinagem;Tarde;9;78,6;2,58;523;4;0,7648183556405354;99,23518164435947;4
2025-04-19;Torno CNC 03;Usinagem;Manhã;2;75,8;2,11;155;5;3,225806451612903;96,7741935483871;4
2025-04-20;Torno CNC 03;Usinagem;Tarde;3;75,2;2,4;188;3;1,5957446808510638;98,40425531914893;4
2025-04-21;Torno CNC 03;Usinagem;Manhã;8;67,6;2,22;490;2;0,40816326530612246;99,59183673469387;4
2025-04-22;Torno CNC 03;Usinagem;Tarde;10;80,7;2,42;537;8;1,48975791433892;98,51024208566108;4
2025-04-23;Torno CNC 03;Usinagem;Manhã;11;79,8;2,66;509;3;0,5893909626719057;99,4106090373281;4
2025-04-24;Torno CNC 03;Usinagem;Tarde;6;78,1;2,55;555;4;0,7207207207207207;99,27927927927928;4
2025-04-25;Torno CNC 03;Usinagem;Manhã;11;79,1;2,82;526;8;1,520912547528517;98,47908745247149;4
2025-04-26;Torno CNC 03;Usinagem;Tarde;3;77,7;1,79;175;9;5,142857142857142;94,85714285714286;4
2025-04-27;Torno CNC 03;Usinagem;Manhã;2;78,0;2,42;205;4;1,951219512195122;98,04878048780488;4
2025-04-28;Torno CNC 03;Usinagem;Tarde;11;73,7;1,97;517;9;1,7408123791102514;98,25918762088975;4
2025-04-29;Torno CNC 03;Usinagem;Manhã;5;77,8;2,59;480;11;2,2916666666666665;97,70833333333333;4
2025-04-30;Torno CNC 03;Usinagem;Tarde;7;79,5;2,06;491;6;1,2219959266802443;98,77800407331975;4
2025-05-01;Torno CNC 03;Usinagem;Manhã;10;77,7;1,99;492;11;2,2357723577235773;97,76422764227642;5
2025-05-02;Torno CNC 03;Usinagem;Tarde;9;74,4;2,11;499;10;2,004008016032064;97,99599198396794;5
2025-05-03;Torno CNC 03;Usinagem;Manhã;3;80,6;2,11;159;9;5,660377358490567;94,33962264150944;5
2025-05-04;Torno CNC 03;Usinagem;Tarde;3;79,7;2,53;158;9;5,69620253164557;94,30379746835443;5
2025-05-05;Torno CNC 03;Usinagem;Manhã;6;80,6;2,0;507;3;0,591715976331361;99,40828402366864;5
2025-05-06;Torno CNC 03;Usinagem;Tarde;6;80,9;1,95;465;10;2,1505376344086025;97,84946236559139;5
2025-05-07;Torno CNC 03;Usinagem;Manhã;11;77,4;2,29;480;11;2,2916666666666665;97,70833333333333;5
2025-05-08;Torno CNC 03;Usinagem;Tarde;10;76,0;2,81;529;4;0,7561436672967864;99,24385633270322;5
2025-05-09;Torno CNC 03;Usinagem;Manhã;5;75,4;2,3;567;9;1,5873015873015872;98,41269841269842;5
2025-05-10;Torno CNC 03;Usinagem;Tarde;5;81,0;1,99;173;10;5,780346820809249;94,21965317919076;5
2025-05-11;Torno CNC 03;Usinagem;Manhã;2;82,2;1,91;130;7;5,384615384615385;94,61538461538461;5
2025-05-12;Torno CNC 03;Usinagem;Tarde;9;80,8;2,11;476;5;1,050420168067227;98,94957983193277;5
2025-05-13;Torno CNC 03;Usinagem;Manhã;10;76,2;2,04;509;9;1,768172888015717;98,23182711198429;5
2025-05-14;Torno CNC 03;Usinagem;Tarde;9;75,5;2,42;506;5;0,9881422924901186;99,01185770750988;5
2025-05-15;Torno CNC 03;Usinagem;Manhã;11;76,3;2,53;521;10;1,9193857965451053;98,0806142034549;5
2025-05-16;Torno CNC 03;Usinagem;Tarde;6;75,1;2,91;549;4;0,7285974499089253;99,27140255009107;5
2025-05-17;Torno CNC 03;Usinagem;Manhã;2;76,0;2,47;159;2;1,257861635220126;98,74213836477988;5
2025-05-18;Torno CNC 03;Usinagem;Tarde;5;72,6;2,16;171;11;6,432748538011696;93,5672514619883;5
2025-05-19;Torno CNC 03;Usinagem;Manhã;10;79,9;1,8;508;4;0,7874015748031495;99,21259842519684;5
2025-05-20;Torno CNC 03;Usinagem;Tarde;5;74,4;2,08;456;6;1,3157894736842104;98,6842105263158;5
2025-05-21;Torno CNC 03;Usinagem;Manhã;11;73,8;2,37;495;6;1,2121212121212122;98,78787878787878;5
2025-05-22;Torno CNC 03;Usinagem;Tarde;5;78,8;2,46;546;9;1,6483516483516485;98,35164835164835;5
2025-05-23;Torno CNC 03;Usinagem;Manhã;10;72,7;1,99;514;4;0,7782101167315175;99,22178988326849;5
2025-05-24;Torno CNC 03;Usinagem;Tarde;4;78,3;2,36;187;9;4,81283422459893;95,18716577540107;5
2025-05-25;Torno CNC 03;Usinagem;Manhã;4;76,2;2,48;171;6;3,508771929824561;96,49122807017544;5
2025-05-26;Torno CNC 03;Usinagem;Tarde;7;77,0;2,39;563;5;0,8880994671403196;99,11190053285968;5
2025-05-27;Torno CNC 03;Usinagem;Manhã;5;77,2;2,58;505;4;0,7920792079207921;99,20792079207921;5
2025-05-28;Torno CNC 03;Usinagem;Tarde;9;81,9;2,62;490;2;0,40816326530612246;99,59183673469387;5
2025-05-29;Torno CNC 03;Usinagem;Manhã;5;74,4;1,82;493;9;1,8255578093306288;98,17444219066937;5
2025-05-30;Torno CNC 03;Usinagem;Tarde;7;78,2;1,61;547;4;0,7312614259597806;99,26873857404021;5
2025-05-31;Torno CNC 03;Usinagem;Manhã;4;80,7;2,63;222;5;2,2522522522522523;97,74774774774775;5
2025-06-01;Torno CNC 03;Usinagem;Tarde;2;77,9;2,16;158;6;3,79746835443038;96,20253164556962;6
2025-06-02;Torno CNC 03;Usinagem;Manhã;7;82,5;2,42;504;7;1,3888888888888888;98,61111111111111;6
2025-06-03;Torno CNC 03;Usinagem;Tarde;9;80,5;2,22;488;9;1,8442622950819672;98,15573770491804;6
2025-06-04;Torno CNC 03;Usinagem;Manhã;9;70,3;2,18;546;11;2,0146520146520146;97,98534798534799;6
2025-06-05;Torno CNC 03;Usinagem;Tarde;7;84,0;2,65;522;11;2,10727969348659;97,89272030651341;6
2025-06-06;Torno CNC 03;Usinagem;Manhã;10;76,8;1,86;533;11;2,0637898686679175;97,93621013133209;6
2025-06-07;Torno CNC 03;Usinagem;Tarde;2;73,5;2,56;156;5;3,205128205128205;96,7948717948718;6
2025-06-08;Torno CNC 03;Usinagem;Manhã;5;79,4;2,37;160;11;6,875000000000001;93,125;6
2025-06-09;Torno CNC 03;Usinagem;Tarde;5;79,4;2,78;501;9;1,7964071856287425;98,20359281437126;6
2025-06-10;Torno CNC 03;Usinagem;Manhã;5;77,7;2,53;577;6;1,0398613518197575;98,96013864818025;6
2025-06-11;Torno CNC 03;Usinagem;Tarde;11;79,6;2,25;503;5;0,9940357852882704;99,00596421471172;6
2025-06-12;Torno CNC 03;Usinagem;Manhã;5;80,6;1,6;509;3;0,5893909626719057;99,4106090373281;6
2025-06-13;Torno CNC 03;Usinagem;Tarde;7;79,9;2,2;556;4;0,7194244604316548;99,28057553956835;6
2025-06-14;Torno CNC 03;Usinagem;Manhã;3;78,0;1,9;200;2;1,0;99,0;6
2025-06-15;Torno CNC 03;Usinagem;Tarde;2;77,5;2,85;208;3;1,4423076923076923;98,5576923076923;6
2025-06-16;Torno CNC 03;Usinagem;Manhã;9;79,3;2,3;572;7;1,2237762237762237;98,77622377622377;6
2025-06-17;Torno CNC 03;Usinagem;Tarde;8;73,1;1,9;519;8;1,5414258188824663;98,45857418111753;6
2025-06-18;Torno CNC 03;Usinagem;Manhã;5;75,4;1,82;549;2;0,36429872495446264;99,63570127504553;6
2025-06-19;Torno CNC 03;Usinagem;Tarde;9;77,0;2,63;506;4;0,7905138339920948;99,2094861660079;6
2025-06-20;Torno CNC 03;Usinagem;Manhã;6;81,1;2,0;577;2;0,34662045060658575;99,65337954939342;6
2025-06-21;Torno CNC 03;Usinagem;Tarde;3;83,8;2,78;180;5;2,7777777777777777;97,22222222222223;6
2025-06-22;Torno CNC 03;Usinagem;Manhã;2;76,3;2,23;160;4;2,5;97,5;6
2025-06-23;Torno CNC 03;Usinagem;Tarde;10;80,8;2,72;520;8;1,5384615384615385;98,46153846153847;6
2025-06-24;Torno CNC 03;Usinagem;Manhã;8;81,7;1,65;498;9;1,8072289156626504;98,19277108433735;6
2025-06-25;Torno CNC 03;Usinagem;Tarde;10;76,1;2,54;470;4;0,851063829787234;99,14893617021276;6
2025-06-26;Torno CNC 03;Usinagem;Manhã;5;83,1;2,43;549;5;0,9107468123861567;99,08925318761385;6
2025-06-27;Torno CNC 03;Usinagem;Tarde;8;79,3;1,98;533;8;1,5009380863039399;98,49906191369605;6
2025-06-28;Torno CNC 03;Usinagem;Manhã;5;78,7;2,09;198;4;2,0202020202020203;97,97979797979798;6
2025-06-29;Torno CNC 03;Usinagem;Tarde;5;79,4;2,71;205;2;0,975609756097561;99,02439024390245;6
2025-06-30;Torno CNC 03;Usinagem;Manhã;11;73,5;2,64;507;8;1,5779092702169626;98,42209072978304;6
2025-01-01;Prensa 12;Estamparia;Manhã;8;85,3;2,46;345;10;2,898550724637681;97,10144927536231;1
2025-01-02;Prensa 12;Estamparia;Tarde;6;80,9;2,74;324;8;2,4691358024691357;97,53086419753086;1
2025-01-03;Prensa 12;Estamparia;Manhã;5;79,1;3,28;251;10;3,9840637450199203;96,01593625498008;1
2025-01-04;Prensa 12;Estamparia;Tarde;5;79,6;3,09;128;5;3,90625;96,09375;1
2025-01-05;Prensa 12;Estamparia;Manhã;3;78,4;2,21;115;8;6,956521739130435;93,04347826086956;1
2025-01-06;Prensa 12;Estamparia;Tarde;9;82,6;2,31;331;10;3,0211480362537766;96,97885196374622;1
2025-01-07;Prensa 12;Estamparia;Manhã;10;76,9;2,46;334;11;3,293413173652695;96,7065868263473;1
2025-01-08;Prensa 12;Estamparia;Tarde;10;82,8;2,89;363;8;2,203856749311295;97,7961432506887;1
2025-01-09;Prensa 12;Estamparia;Manhã;6;85,0;2,55;341;11;3,225806451612903;96,7741935483871;1
2025-01-10;Prensa 12;Estamparia;Tarde;10;81,0;2,66;285;6;2,1052631578947367;97,89473684210526;1
2025-01-11;Prensa 12;Estamparia;Manhã;4;83,7;2,32;79;2;2,5316455696202533;97,46835443037975;1
2025-01-12;Prensa 12;Estamparia;Tarde;4;83,7;2,07;165;7;4,242424242424243;95,75757575757575;1
2025-01-13;Prensa 12;Estamparia;Manhã;10;81,1;2,34;339;5;1,4749262536873156;98,52507374631269;1
2025-01-14;Prensa 12;Estamparia;Tarde;11;83,8;2,14;322;3;0,9316770186335404;99,06832298136646;1
2025-01-15;Prensa 12;Estamparia;Manhã;5;80,0;2,49;328;10;3,048780487804878;96,95121951219512;1
2025-01-16;Prensa 12;Estamparia;Tarde;5;87,0;2,39;299;4;1,3377926421404682;98,66220735785953;1
2025-01-17;Prensa 12;Estamparia;Manhã;7;88,9;2,51;306;2;0,6535947712418301;99,34640522875817;1
2025-01-18;Prensa 12;Estamparia;Tarde;2;84,0;2,9;91;9;9,89010989010989;90,1098901098901;1
2025-01-19;Prensa 12;Estamparia;Manhã;4;82,1;2,85;128;8;6,25;93,75;1
2025-01-20;Prensa 12;Estamparia;Tarde;9;84,5;2,74;321;11;3,4267912772585665;96,57320872274143;1
2025-01-21;Prensa 12;Estamparia;Manhã;5;77,0;2,73;328;8;2,4390243902439024;97,5609756097561;1
2025-01-22;Prensa 12;Estamparia;Tarde;6;84,5;2,64;334;3;0,8982035928143712;99,10179640718563;1
2025-01-23;Prensa 12;Estamparia;Manhã;7;81,4;2,59;340;5;1,4705882352941175;98,52941176470588;1
2025-01-24;Prensa 12;Estamparia;Tarde;11;86,1;1,79;357;9;2,5210084033613445;97,47899159663865;1
2025-01-25;Prensa 12;Estamparia;Manhã;4;85,9;2,34;182;4;2,197802197802198;97,8021978021978;1
2025-01-26;Prensa 12;Estamparia;Tarde;2;74,4;2,99;149;9;6,0402684563758395;93,95973154362416;1
2025-01-27;Prensa 12;Estamparia;Manhã;5;76,3;3,21;336;3;0,8928571428571428;99,10714285714286;1
2025-01-28;Prensa 12;Estamparia;Tarde;5;82,8;2,87;326;4;1,2269938650306749;98,77300613496932;1
2025-01-29;Prensa 12;Estamparia;Manhã;7;85,2;2,44;359;6;1,6713091922005572;98,32869080779945;1
2025-01-30;Prensa 12;Estamparia;Tarde;8;84,8;2,69;282;6;2,127659574468085;97,87234042553192;1
2025-01-31;Prensa 12;Estamparia;Manhã;5;76,7;2,47;317;9;2,8391167192429023;97,1608832807571;1
2025-02-01;Prensa 12;Estamparia;Tarde;3;83,4;2,82;74;6;8,108108108108109;91,89189189189189;2
2025-02-02;Prensa 12;Estamparia;Manhã;3;83,9;2,31;107;11;10,2803738317757;89,7196261682243;2
2025-02-03;Prensa 12;Estamparia;Tarde;9;85,0;2,54;323;3;0,9287925696594427;99,07120743034056;2
2025-02-04;Prensa 12;Estamparia;Manhã;5;84,0;2,57;326;9;2,7607361963190185;97,23926380368098;2
2025-02-05;Prensa 12;Estamparia;Tarde;8;80,6;2,78;322;10;3,1055900621118013;96,8944099378882;2
2025-02-06;Prensa 12;Estamparia;Manhã;5;80,5;2,75;355;8;2,2535211267605635;97,74647887323944;2
2025-02-07;Prensa 12;Estamparia;Tarde;5;89,5;2,74;283;4;1,4134275618374559;98,58657243816255;2
2025-02-08;Prensa 12;Estamparia;Manhã;3;82,5;2,65;114;4;3,508771929824561;96,49122807017544;2
2025-02-09;Prensa 12;Estamparia;Tarde;5;88,7;2,4;58;10;17,24137931034483;82,75862068965517;2
2025-02-10;Prensa 12;Estamparia;Manhã;7;79,4;2,76;353;6;1,69971671388102;98,30028328611898;2
2025-02-11;Prensa 12;Estamparia;Tarde;7;81,5;2,36;291;6;2,0618556701030926;97,93814432989691;2
2025-02-12;Prensa 12;Estamparia;Manhã;6;79,8;2,77;327;6;1,834862385321101;98,1651376146789;2
2025-02-13;Prensa 12;Estamparia;Tarde;9;82,0;2,96;389;11;2,827763496143959;97,17223650385604;2
2025-02-14;Prensa 12;Estamparia;Manhã;7;80,4;3,0;298;2;0,6711409395973155;99,32885906040268;2
2025-02-15;Prensa 12;Estamparia;Tarde;3;85,3;2,62;98;10;10,204081632653061;89,79591836734694;2
2025-02-16;Prensa 12;Estamparia;Manhã;2;80,6;2,75;136;11;8,088235294117647;91,91176470588235;2
2025-02-17;Prensa 12;Estamparia;Tarde;8;86,1;2,79;322;6;1,8633540372670807;98,13664596273291;2
2025-02-18;Prensa 12;Estamparia;Manhã;10;82,4;3,07;335;8;2,3880597014925375;97,61194029850746;2
2025-02-19;Prensa 12;Estamparia;Tarde;6;84,5;2,15;328;3;0,9146341463414633;99,08536585365853;2
2025-02-20;Prensa 12;Estamparia;Manhã;8;82,3;2,48;310;8;2,5806451612903225;97,41935483870968;2
2025-02-21;Prensa 12;Estamparia;Tarde;6;85,6;2,53;298;6;2,013422818791946;97,98657718120805;2
2025-02-22;Prensa 12;Estamparia;Manhã;2;80,8;2,43;127;5;3,937007874015748;96,06299212598425;2
2025-02-23;Prensa 12;Estamparia;Tarde;3;84,3;2,89;97;9;9,278350515463918;90,72164948453609;2
